6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999866353959162	6.804222282738695e-23	6.138341889633508e-23	5.247633806036408e-24	1.000399999999992	-1.1856476028090079e-22	-2.005085804828539e-24	-2.9460864696688633e-23	0.9998677424860252	-4.66528331619208	-988.3619504170873	5482.595344074792	-988.8894567040585	28326307.31286531	1455.4062322650286	5482.602957970852	1454.6318914598596	-4.551424225160786	1599.565890624997	-4.664034802660605	-988.6248117942907	5481.135714889306	-988.6248121403419	28333840.881056808	1455.018760040647	5481.135715036864	1455.0187604021048	-4.550212501293229	-0.00013365497226587827	0.0	0.0	0.0	0.0003999200213191229	0.0	0.0	0.0	-0.00013226626077106124	28333847.242476728	0.00035525466331877816
4	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326366107937	-9.922527755941099e-23	1.1519515733760476e-21	1.5630404854802012e-23	1.0008000000000163	9.219159537475008e-22	-5.836586402174163e-24	-1.2639319759810264e-22	0.9997354145987488	0.002989327106866767	-1976.8674505922188	10965.957278582486	-1978.9780509427903	56686614.84244735	2912.5953349349434	10965.987750053357	2909.497107148786	0.012337542433826457	1599.565890624997	0.002987728066050459	-1977.9194625390267	10960.121860688803	-1977.9194626501974	56716781.253463164	2911.045428209725	10960.121860715475	2911.045428314683	0.012330977141435339	-0.00026739913716918235	0.0	0.0	0.0	0.0007996801705802186	0.0	0.0	0.0	-0.0002646204101440466	56716784.7503385	0.0007104617741661372
6	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995987343058456	-1.9691530790192357e-22	-1.3951426734666378e-21	6.352747104407253e-25	1.001199999999973	-4.482868933784181e-21	-6.617444900424222e-25	8.846200342887099e-23	0.9996025901056009	-16.70662098378059	-3083.134477546229	15395.67335436238	-3088.073367023221	84965657.84208915	5410.90512622035	15395.732741181	5402.272067713598	-28.063451913574863	1599.565890624997	-16.693231122517858	-3085.5983775955106	15383.393517613647	-3085.5983678002353	85033558.50943564	5406.589301242547	15383.39351796868	5406.58931644563	-28.04106805285162	-0.0004013462227760621	0.0	0.0	0.0	0.0011992805754553518	0.0	0.0	0.0	-0.00039748888263920726	85033585.73468262	0.0010658010788544684
8	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994604266013736	2.0709955560367643e-22	-1.6934041500185583e-21	1.7999450129153883e-23	1.001600000000025	1.7279472123987726e-22	-8.682087709356579e-24	-3.1551977285222687e-22	0.9994493844826446	-5784.74890754575	-5171.233450716294	-38754.50651756359	-5182.289980507686	108005680.26609573	53570.88203318968	-38754.0789580726	53455.87341273639	-7558.518760027391	1599.565890624997	-5778.689930940216	-5176.875685170931	-38713.487128008666	-5176.8620225691775	108123523.20942861	53514.18037249573	-38713.487730773224	53514.19809941831	-7550.518507841616	-0.0005397190207375787	0.0	0.0	0.0	0.0015987213637221245	0.0	0.0	0.0	-0.0005507671617468365	108130248.7136551	0.0014293238697160782
10	20.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993169993882591	-3.265312011665328e-22	1.3368932764751436e-20	1.2027867851011064e-22	1.0019999999999905	-7.77237432400546e-21	2.6510807760079514e-22	2.202285662861181e-22	0.9992435089842774	-4019.0551074420446	5831.67838858305	-218540.7267635229	5847.374476284571	118633718.78399073	209939.43829939023	-218524.67213409397	209361.90621116335	-858.5879655036058	1599.565890624997	-4014.0696489853067	5840.0821204231215	-218253.58506017958	5840.121069263969	118804675.73556112	209663.59786998847	-218253.60203289543	209663.60688806785	-857.4598626802289	-0.0006832339629174025	0.0	0.0	0.0	0.0019980026626639723	0.0	0.0	0.0	-0.0007567772994404186	118808268.37057267	0.0018125029412584751
12	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991760820433465	-1.4543555704356338e-21	1.2668965912964164e-20	-3.134021904840911e-22	1.00239999999999	-3.765908483492619e-21	-4.4490405554532125e-22	-4.0318768289304694e-22	0.9990093939553426	2572.3943396582195	34647.006435692565	-395162.8722848151	34758.73575502327	123711214.39342862	397330.6731159388	-395096.8789260589	395986.73666150623	-5753.914985624102	1599.565890624997	2568.7800237777737	34709.960161981406	-394541.8221717656	34709.8983552954	123935998.08272772	396706.2160204887	-394541.7521704905	396706.24588317797	-5744.871956020543	-0.000824257563604791	0.0	0.0	0.0	0.0023971245997119264	0.0	0.0	0.0	-0.0009910970190930817	123941389.53049171	0.002205305934139567
14	28.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999037033453381	1.692371828614092e-21	-2.736371699840539e-20	-5.454892180317694e-22	1.0028000000000115	2.5930219614295896e-20	-6.505213034913027e-22	2.7774210340468507e-21	0.9987653785827516	2892.395944955581	72334.11607096576	-535292.8447658676	72606.52528187176	127014226.75836742	555241.8544184184	-535147.2480377682	553007.8758054061	-1142.635870224764	1599.565890624997	2887.8852944123296	72493.34037596776	-534312.7350677846	72493.29643321519	127293814.77408504	554225.2185122628	-534312.6934778052	554225.1754624499	-1140.5437284957359	-0.0009634304967735012	0.0	0.0	0.0	0.0027960873020129234	0.0	0.0	0.0	-0.0012353841901588422	127299986.64446269	0.002601738533405499
16	32.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9988983606775965	-9.690056916589195e-22	1.4556187083182265e-19	-1.2010927192065978e-21	1.0032000000000278	6.65937303131331e-20	-1.3654171109739322e-21	2.6435898283806714e-21	0.9985172393589642	-3204.1727292579612	107563.33041023623	-641758.7337510522	108026.46717618093	129475224.19363634	670159.4628138714	-641513.8793271574	667031.2458726241	-4270.432451714792	1599.565890624997	-3198.6949816149904	107841.86075506193	-640417.1651823001	107841.78870346643	129810494.3893759	668758.5237629794	-640417.1684325387	668758.4929020145	-4261.505299420793	-0.0011022465730235543	0.0	0.0	0.0	0.003194890896546734	0.0	0.0	0.0	-0.001483861018460288	129824265.39945932	0.003000064425216854
18	36.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9987591885485952	-3.4508122271140194e-21	-1.1625103684591646e-20	-3.2610768469290564e-21	1.0036000000000167	-9.441833911396323e-20	-5.128784495624789e-22	6.472178749970109e-21	0.9982674901734715	6468.316982061366	136738.88995570928	-719422.6244121704	137401.67263401323	131400561.838358	746203.9204996352	-719068.4870282417	742239.0802894203	4320.071536489654	1599.565890624997	6456.30017310358	137146.37536573948	-717732.5640209904	137146.40845090314	131792138.89325616	744450.9457571323	-717732.6049649251	744450.9718447059	4309.922867900241	-0.0012415818953167524	0.0	0.0	0.0	0.0035935355101463693	0.0	0.0	0.0	-0.0017340123573615339	131799140.63531365	0.0033994644795630863
