6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539591621	2.823001994520973e-23	3.088361535027984e-23	-1.2056984608572932e-23	1.000399999999992	-4.694084540115922e-22	-4.29472174037532e-24	1.0667321179483846e-23	0.9998677424860251	-4.665289565533495	-988.3619504059438	5482.5953440661415	-988.8894566929307	28326307.31283545	1455.4062322627967	5482.602957962188	1454.631891457604	-4.55143041598063	1599.565890624997	-4.664041050329584	-988.6248117831444	5481.135714880657	-988.6248121292172	28333840.881026942	1455.0187600384156	5481.135715028203	1455.0187603998486	-4.550218690464893	-0.00013365497226576722	0.0	0.0	0.0	0.0003999200213191229	0.0	0.0	0.0	-0.00013226626077117229	28333847.24245308	0.0003552546633187779
4	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326366107936	-5.897136023013045e-23	-1.0191791588939361e-21	1.4651023009539226e-23	1.0008000000000163	1.7328308867352858e-21	-1.6623021589865644e-23	-9.386183846761715e-23	0.9997354145987489	0.0029849152740525826	-1976.8674505888255	10965.957278576972	-1978.9780509393602	56686614.84243687	2912.5953349504402	10965.987750047974	2909.4971071642753	0.01233315834840323	1599.565890624997	0.002983318593199042	-1977.9194625356315	10960.121860683295	-1977.9194626467688	56716781.25345268	2911.045428225214	10960.121860710095	2911.0454283301797	0.012326595388956687	-0.0002673991371692934	0.0	0.0	0.0	0.0007996801705806623	0.0	0.0	0.0	-0.0002646204101439356	56716784.75033241	0.0007104617741664332
6	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995987343058458	2.0951492299233128e-22	9.94469619635752e-23	3.838118042246048e-24	1.001199999999973	-4.020230125905723e-21	-2.488159282559507e-23	2.9646153153900512e-24	0.9996025901056008	-16.706629749342326	-3083.134477541519	15395.673354364362	-3088.073367018496	84965657.84206149	5410.905126211049	15395.732741182901	5402.272067704417	-28.063460593948637	1599.565890624997	-16.693239881054257	-3085.5983775907966	15383.393517615625	-3085.5983677955137	85033558.50940794	5406.589301233251	15383.39351797058	5406.589316436441	-28.041076726301778	-0.00040134622277583995	0.0	0.0	0.0	0.0011992805754553518	0.0	0.0	0.0	-0.0003974888826393183	85033585.73466364	0.001065801078854431
8	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994604266013734	-1.49501315190384e-22	-4.2320413022785016e-21	8.682087709356579e-24	1.001600000000025	-5.1198906496786186e-21	-4.9604366973579967e-23	-3.840235624614184e-22	0.9994493844826448	-5784.748929709237	-5171.233450729648	-38754.50651737987	-5182.2899805212965	108005680.26606007	53570.88203317297	-38754.07895788922	53455.87341271964	-7558.518782830646	1599.565890624997	-5778.689953080488	-5176.8756851843	-38713.487127825145	-5176.8620225827735	108123523.20939292	53514.18037247905	-38713.48773059004	53514.19809940153	-7550.518530620737	-0.0005397190207378008	0.0	0.0	0.0	0.0015987213637225677	0.0	0.0	0.0	-0.0005507671617465032	108130248.71364188	0.0014293238697163353
10	20.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993169993882589	-1.093943051378929e-21	-9.294386651103031e-21	-2.4691010412462853e-22	1.0019999999999905	-3.473258600216259e-21	-2.0574959684398988e-22	-1.0418505251227894e-22	0.9992435089842769	-4019.0551367648945	5831.678388579666	-218540.7267634467	5847.374476281156	118633718.78395566	209939.4382996397	-218524.6721340194	209361.90621141612	-858.5879985763949	1599.565890624997	-4014.0696782717846	5840.082120419736	-218253.58506010356	5840.12106926056	118804675.73552608	209663.59787023766	-218253.60203282107	209663.6068883211	-857.4598957095636	-0.0006832339629176248	0.0	0.0	0.0	0.0019980026626633075	0.0	0.0	0.0	-0.0007567772994417518	118808268.37056878	0.0018125029412585654
12	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991760820433464	-4.065758146820642e-23	-3.2817656266657427e-20	-3.3881317890172015e-22	1.00239999999999	1.871604000253102e-20	1.6294796322804602e-22	-1.7283707288724e-21	0.9990093939553433	2572.3943034689078	34647.00643559337	-395162.87228435464	34758.73575492371	123711214.39335644	397330.6731158868	-395096.8789256018	395986.73666144727	-5753.915021800863	1599.565890624997	2568.7799876393074	34709.960161882016	-394541.8221713059	34709.89835519595	123935998.08265531	396706.21602043684	-394541.7521700337	396706.2458831186	-5744.871992140447	-0.0008242575636049021	0.0	0.0	0.0	0.0023971245997112616	0.0	0.0	0.0	-0.000991097019093304	123941389.53045544	0.0022053059341392385
14	28.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990370334533819	2.0379612710938467e-21	1.765407244491094e-20	-1.712700619348195e-21	1.0028000000000115	-6.971123507550254e-20	6.198163591533343e-22	-1.102836897325099e-21	0.9987653785827525	2892.3960159379753	72334.1160708302	-535292.8447654698	72606.52528173332	127014226.7584042	555241.8544185059	-535147.2480373719	553007.8758055217	-1142.635798782643	1599.565890624997	2887.8853652840257	72493.34037583179	-534312.7350673869	72493.2964330769	127293814.77412166	554225.2185123498	-534312.6934774092	554225.1754625648	-1140.5436571844227	-0.0009634304967726121	0.0	0.0	0.0	0.0027960873020124806	0.0	0.0	0.0	-0.0012353841901581752	127299986.64442822	0.0026017385334046943
16	32.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9988983606775971	-6.708500942254059e-21	-6.809710791539107e-20	-1.0621793158568926e-21	1.0032000000000278	3.456106183034359e-20	-4.438452643612534e-22	-7.641084217181044e-21	0.9985172393589641	-3204.172760097788	107563.33041006376	-641758.7337506145	108026.46717600722	129475224.19356488	670159.4628138895	-641513.879326714	667031.2458726717	-4270.432479714334	1599.565890624997	-3198.6950124020946	107841.86075488897	-640417.1651818629	107841.78870329303	129810494.38930418	668758.523762997	-640417.168432096	668758.4929020619	-4261.5053273618005	-0.0011022465730229985	0.0	0.0	0.0	0.003194890896547177	0.0	0.0	0.0	-0.001483861018460177	129824265.39941692	0.0030000644252169456
18	36.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9987591885485958	-3.71678057255187e-21	-7.663625881489848e-20	-4.675621868843738e-22	1.0036000000000167	2.4599954370633018e-20	-1.294689859878198e-21	-1.4893380311572362e-20	0.9982674901734716	6468.316988204927	136738.88995561376	-719422.6244118551	137401.6726339229	131400561.83836436	746203.920499651	-719068.4870279083	742239.0802894239	4320.071543868355	1599.565890624997	6456.300179235727	137146.3753656436	-717732.5640206755	137146.40845081292	131792138.89326245	744450.9457571477	-717732.6049645923	744450.971844709	4309.922875261605	-0.0012415818953161967	0.0	0.0	0.0	0.003593535510147033	0.0	0.0	0.0	-0.0017340123573614226	131799140.6353132	0.0033994644795633275
