6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	4.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999866353959162	8.862413082893139e-24	-1.3762300159412254e-22	-5.227781471335135e-24	1.000399999999992	-2.9732179937606027e-22	-8.602678370551487e-26	-3.070494433796839e-24	0.9998677424860252	-4.665290052752812	-988.3619504048548	5482.595344080721	-988.8894566918593	28326307.31287723	1455.406232256831	5482.6029579766355	1454.6318914516523	-4.551430973093371	1599.565890624997	-4.664041537418512	-988.6248117820551	5481.135714895233	-988.6248121281459	28333840.88106873	1455.0187600324516	5481.135715042646	1455.0187603938953	-4.550219247429315	-0.00013365497226587827	0.0	0.0	0.0	0.0003999200213191229	0.0	0.0	0.0	-0.00013226626077083916	28333847.24249539	0.00035525466331870443
4	8.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997326366107937	4.245421775867159e-23	-6.499257334502645e-22	9.449711317805788e-24	1.0008000000000163	5.151548506082248e-22	4.738090548703742e-24	-3.840765020206218e-23	0.999735414598749	0.003000728638948203	-1976.8674505836705	10965.957278586959	-1978.9780509342143	56686614.84244931	2912.5953349443644	10965.987750058013	2909.4971071581886	0.012348829589736852	1599.565890624997	0.0029991234992626263	-1977.9194625304733	10960.121860693274	-1977.9194626416254	56716781.25346511	2911.045428219141	10960.121860720128	2911.0454283240892	0.012342258291005395	-0.00026739913716918235	0.0	0.0	0.0	0.0007996801705806623	0.0	0.0	0.0	-0.00026462041014338033	56716784.75032911	0.0007104617741662118
6	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995987164731462	-8.977225751915499e-23	-2.524158182817815e-22	-2.165227971418805e-23	1.0011999999999948	3.878405046799831e-21	1.2361387073992446e-23	1.4928955695357042e-23	0.9996024945664157	-5.542580291098853	-3136.2048423489573	15204.343581650635	-3141.2287447832296	84941416.0481669	5625.043897048582	15204.401073178635	5616.068695029017	-22.872765353136884	1599.565890624997	-5.538138606687183	-3138.7115097896262	15192.21662363333	-3138.7114430904426	85009306.98408319	5620.557371811983	15192.216648652759	5620.5574377132625	-22.854522075241487	-0.0004013640626340614	0.0	0.0	0.0	0.001199280575477086	0.0	0.0	0.0	-0.0003975844598118727	85009325.98422244	0.001065838791629481
8	16.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994596740962362	-1.2176098616780566e-22	-3.8381180422460484e-22	-3.6634174968748487e-23	1.001599999999991	-1.0098750313639396e-21	-4.235164736271502e-23	-2.5961559833344305e-22	0.9994427466141732	-11233.323495891753	-4456.216430804316	-58517.9957653077	-4465.731932064169	106435935.77009457	67013.98626659122	-58517.005288633496	66869.69101057606	-16058.772387772933	1599.565890624997	-11221.632182196416	-4461.111511173821	-58456.10188492756	-4461.0841292197	106552853.89287616	66943.10626471257	-58456.102505446375	66943.14626501972	-16041.787189899667	-0.0005404719324093979	0.0	0.0	0.0	0.0015987213636879842	0.0	0.0	0.0	-0.0005574087092004668	106566597.14143458	0.0014318078474191685
10	20.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993167229459545	7.030373462210693e-23	-3.520057170552059e-21	-1.5331296345302836e-22	1.0019999999999947	2.66478682788571e-20	1.0140572565410077e-22	1.1638232695274088e-21	0.999230094976661	-6190.484076936915	8706.784516128326	-244703.71775586027	8730.20095610529	115700482.87560935	235312.05551682558	-244682.52590301813	234661.57232961786	-2611.309483337583	1599.565890624997	-6182.888057868855	8719.450878929527	-244382.26797762327	8719.488583356018	115868800.38589823	235002.94289378877	-244382.2887795103	235002.95078053977	-2607.879192772221	-0.0006835105941995768	0.0	0.0	0.0	0.0019980026626677393	0.0	0.0	0.0	-0.0007702015524204714	115874684.82271841	0.0018172618746910025
12	24.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9991759911332546	1.6728900708272432e-21	-7.269014407187751e-20	-6.479802046495398e-22	1.0024000000000148	-4.673504286475602e-21	1.267373047329247e-22	-1.4907779871675685e-22	0.9989948892219547	3370.3224779765	38695.6515799106	-405528.54977798776	38820.45387223046	120577037.14865765	415161.02782825043	-405454.9689827434	413750.74906689813	-6119.6383705707185	1599.565890624997	3365.635907532631	38766.52809078039	-404891.24548670556	38766.47245267074	120797890.89669354	414508.5857135018	-404891.16736246186	414508.5915702881	-6110.02111477752	-0.0008243485486650505	0.0	0.0	0.0	0.002397124599736514	0.0	0.0	0.0	-0.0010056162406085845	120803451.11610104	0.0022105500797849334
14	28.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9990358772017596	6.166399856011306e-22	3.223415644511762e-20	-2.2124500582282326e-21	1.0027999999999846	-1.62698088508606e-20	8.762555839345737e-22	2.2776715951668137e-21	0.9987522620590953	202.52044540146247	75886.54231109265	-528729.1962787248	76172.42069600815	123949953.81117743	556721.0533794021	-528579.0779920621	554473.8509642583	-1245.1594729580381	1599.565890624997	202.20727316797644	76054.6731650073	-527761.7152935489	76054.62968941563	124224571.82568023	555702.3522428231	-527761.6973562423	555702.3186107852	-1242.88105118357	-0.0009645878635695597	0.0	0.0	0.0	0.002796087301986352	0.0	0.0	0.0	-0.0012485170140092209	124232253.82245877	0.0026069188938612478
16	32.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9988951794419424	5.7750706343798194e-21	-8.181279479292474e-22	-4.9839418616443035e-21	1.0031999999999874	2.789279495308411e-20	-1.8829542417463095e-21	-7.062560714206356e-21	0.9985065053340099	-6050.721250658744	109410.99382377307	-618957.3843969941	109882.43327973066	126485573.87940165	653962.4374442081	-618716.5935672047	650902.8519686941	-5293.093947270044	1599.565890624997	-6040.442072420106	109695.83718462934	-617665.4481583748	109695.76113434724	126814869.63574651	652597.4359224101	-617665.4960399823	652597.4289893939	-5282.045787804984	-0.0011054313221883136	0.0	0.0	0.0	0.003194890896506451	0.0	0.0	0.0	-0.0014946110408207145	126830222.48136388	0.003005020260911171
18	36.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9987531521340013	1.9397054492123479e-22	-1.5191070040884888e-19	-5.014435047745458e-21	1.0036000000000014	1.4100345714705524e-19	-6.469637651128346e-21	-4.1784135288054634e-21	0.9982597753312435	-4354.683718659674	136413.18230402726	-683785.2701412797	137075.09716377474	128455841.79783575	715016.3799336628	-683447.5821934405	711211.7570869942	-1592.7681217233746	1599.565890624997	-4346.627199408457	136821.58141720036	-682183.0517198807	136821.49707924275	128840417.91420564	713340.9820192049	-682183.1485493748	713341.0106236889	-1589.0360108735533	-0.0012476258275328736	0.0	0.0	0.0	0.0035935355101311033	0.0	0.0	0.0	-0.0017417406186900364	128854945.20593792	0.0034041205062525634
